Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_pvalue	deseq2_padj	bayseq_library_522	bayseq_library_523	bayseq_library_524	bayseq_library_525	bayseq_likelihood	bayseq_FDR	
LOC428971	NULL	NULL	NULL	NULL	NULL	NULL	-1.31117593044244	-1.08650007847944	0.0155873974408858	0.501951871064658	-0.520531395891483	12.4382770883603	0.313436565703744	0.0967690392180282	0.999162683775631	15	19	7	8	0.0378375973499782	0.820428565857993	
LOC430600	NULL	NULL	NULL	NULL	NULL	NULL	4.14961461197256	0.324572033038218	5.06876833913456e-15	4.50233347723627e-12	0.809353895889186	35.6408750666492	0.279407806993613	NA	NA	4	3	8	132	0.0713065033012763	0.71274861906443	
SUCNR1	NULL	NULL	NULL	NULL	NULL	NULL	1.44577830664601	3.30513090309632	1.06565878400275e-05	0.0018029931712199	0.972812076177373	297.331414707858	0.299089898004639	NA	NA	177	125	646	281	0.0264057561678019	0.86754419654474	
EMP2	12.4803	17.9955	0.527979	1.37746	0.05095	0.999798	-0.49718894870394	4.97165337036212	0.112110516599819	1	-0.430155526827254	949.285228476882	0.218330214321475	0.048814751187979	0.999162683775631	848	1287	804	859	0.0179799987501434	0.908912046051984	
EMP1	NULL	NULL	NULL	NULL	NULL	NULL	-0.554719034601235	5.82019229497684	0.0747160605089342	1	-0.472192538389111	1712.67724406736	0.229520026715552	0.0396569637947574	0.999162683775631	2148	1712	1294	1628	0.0115967939384855	0.940304473258282	
CNTNAP5	NULL	NULL	NULL	NULL	NULL	NULL	1.20961238501398	-0.511407065358344	0.0109088394008066	0.400266158943883	0.362624547396334	18.9457332518766	0.294115209988379	0.217600509519225	0.999162683775631	7	15	49	8	0.00439772380996804	0.968030728405278	
CDKN3	NULL	NULL	NULL	NULL	NULL	NULL	0.582800613796661	2.21307382971736	0.0854222595838533	1	0.483257809722774	138.394305635913	0.240403966316876	0.0444110126825254	0.999162683775631	93	119	178	173	0.0405561826786039	0.809857196505613	
MAP7D3	NULL	NULL	NULL	NULL	NULL	NULL	0.69842007438334	4.21961615845803	0.027085266764398	0.69903597685646	0.624680134713049	562.718737242515	0.195844847275754	0.00142436090729195	0.16786686776147	386	433	816	659	0.131454316129693	0.548580971256693	
LOC770392	NULL	NULL	NULL	NULL	NULL	NULL	0.670973990422638	2.80986348526119	0.0404487296463936	0.848033984295621	0.549475867050497	210.385623901489	0.246086207030259	0.0255582266642438	0.874493275642905	131	180	241	304	0.0129133214223949	0.929453325933288	
FAM101A	0.000671445	2.42028	11.8156	0.191594	0.2096	0.999798	-0.881473137128389	6.32676442288751	0.00472004164458637	0.241299395154178	-0.80583514419474	2433.33585637748	0.180401602480969	7.93627940105067e-06	0.00254125656066473	3040	2961	1729	1884	0.216755310355835	0.413920253168103	
ALDH9A1	NULL	NULL	NULL	NULL	NULL	NULL	0.520483947172945	8.65764577875345	0.0923771066500814	1	0.473526986843546	12244.9179807001	0.181332810155691	0.00901803739123471	0.509975981949138	9403	9766	14082	16354	0.00106519163633823	0.987966519476219	
